Architecture,Best_Resolution,Core_Speed_(MHz),DVI_Connection,Dedicated,Direct_X_(DX),HDMI_Connection,Integrated,L2_Cache_(KB),Manufacturer,Max_Power_(Watts),Memory_(MB),Memory_Type,Name,Notebook_GPU,Open_GL,Power_Connector,ROPs,Release_Date,SLI_Crossfire,Shader,TMUs,VGA_Connection,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),PSU_Watt_(Watt),PSU_Amps_(Amps),Pixel_Rate_(GPixel/s),Process_(nm),Resolution_Width,Resolution_Height,Texture_Rate_(GTexel/s)
Tesla G92b ,,738.0,2.0,1.0,10.0,0.0,0.0,0.0,Nvidia,141.0,1024.0,GDDR3,GeForce GTS 150,0,3.3,None ,16.0,2009-03-01,1,4.0,64.0,0.0,64.0,256.0,1000.0,450.0,38.0,12.0,55.0,2560.0,1600.0,47.0
R600 XT ,1366 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,215.0,512.0,GDDR3,Radeon HD 2900 XT 512MB,0,3.1,None ,16.0,2007-05-14,1,4.0,16.0,0.0,106.0,512.0,828.0,550.0,35.0,12.0,80.0,2560.0,1600.0,12.0
R600 PRO ,1366 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,200.0,512.0,GDDR3,Radeon HD 2900 Pro,0,3.1,None ,16.0,2007-12-07,1,4.0,16.0,0.0,51.2,256.0,800.0,550.0,35.0,10.0,80.0,2560.0,1600.0,10.0
RV630 ,1024 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,,256.0,GDDR4,Radeon HD 2600 XT Diamond Edition,0,3.3,None ,4.0,2007-07-01,1,4.0,8.0,0.0,36.8,128.0,1150.0,,,3.0,65.0,2560.0,1600.0,7.0
RV630 ,1024 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,45.0,256.0,GDDR3,Radeon HD 2600 XT,0,3.1,None ,4.0,2007-06-28,1,4.0,8.0,0.0,22.4,128.0,700.0,400.0,25.0,3.0,65.0,2560.0,1600.0,6.0
RV630 ,1024 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,50.0,256.0,GDDR4,Radeon HD 2600 XT 256MB GDDR4,0,3.3,None ,4.0,2007-06-26,1,4.0,8.0,0.0,35.2,128.0,1100.0,400.0,26.0,3.0,65.0,2560.0,1600.0,6.0
R700 RV790 XT ,1920 x 1080,870.0,1.0,1.0,10.1,1.0,0.0,0.0,AMD,190.0,2048.0,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,0,3.3,2x 6-pin ,16.0,2009-07-13,1,4.1,40.0,1.0,134.4,256.0,1050.0,500.0,37.0,14.0,55.0,2560.0,1600.0,35.0
R600 GT ,1024 x 768,,2.0,1.0,10.0,0.0,0.0,0.0,AMD,150.0,256.0,GDDR3,Radeon HD 2900 GT,0,3.1,None ,12.0,2007-11-06,1,4.0,12.0,0.0,51.2,256.0,800.0,550.0,30.0,7.0,80.0,2560.0,1600.0,7.0
Pitcairn XT GL ,1920 x 1080,,0.0,1.0,11.2,0.0,0.0,0.0,AMD,150.0,2048.0,GDDR5,FirePro D300,0,4.3,None ,32.0,2014-01-18,1,5.0,80.0,0.0,160.0,256.0,1250.0,500.0,20.0,25.0,28.0,4096.0,2160.0,62.0
RV100 ,,,,1.0,7.0,,0.0,0.0,AMD,32.0,64.0,DDR,Radeon 7000 64mb,0,1.4,None ,,2001-01-02,0,1.0,,,2.9,64.0,366.0,,,,,1600.0,1200.0,
NV28GL A2 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 980 XGL,0,1.5,None ,4.0,2002-11-01,0,1.3,8.0,0.0,5.2,128.0,325.0,,,1.0,150.0,,,2.0
Fermi GF110 ,1920 x 1080,650.0,2.0,1.0,12.0,1.0,0.0,768.0,Nvidia,250.0,6144.0,GDDR5,Tesla M2090,0,4.5,1x 6-pin + 1x 8-pin ,48.0,2011-07-25,1,5.0,56.0,0.0,177.6,384.0,925.0,600.0,42.0,31.0,40.0,2560.0,1600.0,36.0
Kepler GK110 ,,705.0,0.0,1.0,12.0,0.0,0.0,1536.0,Nvidia,225.0,5120.0,GDDR5,Tesla K20,0,4.5,None ,,2012-11-01,0,5.0,,0.0,168.0,320.0,1050.0,,,,28.0,4096.0,2160.0,
Kepler GK110 ,2560 x 1600,706.0,0.0,1.0,12.0,0.0,0.0,1536.0,Nvidia,245.0,12288.0,GDDR5,Tesla K40c,0,4.5,None ,48.0,2013-11-12,1,5.0,240.0,0.0,288.4,384.0,1502.0,,,34.0,28.0,4096.0,2160.0,169.0
RV200 ,,,,1.0,7.0,,0.0,0.0,AMD,,64.0,DDR,All-in-Wonder Radeon 7500,0,1.4,None ,,2002-01-22,0,,,1.0,5.8,128.0,360.0,,,,,1600.0,1200.0,
GCN 1.1 Oland XT + Kaveri ,1600 x 900,1050.0,1.0,1.0,12.0,1.0,0.0,,AMD,150.0,3072.0,DDR3,Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,0,4.4,None ,,2015-05-28,1,5.0,28.0,1.0,57.6,128.0,900.0,400.0,27.0,18.0,28.0,2560.0,1600.0,62.0
Kepler GK104 x2 ,,,0.0,1.0,11.1,0.0,0.0,0.0,Nvidia,300.0,8192.0,GDDR5,Tesla K10,0,4.2,None ,,2012-05-15,0,5.0,,0.0,320.0,512.0,1250.0,,,,28.0,4096.0,2160.0,
Kepler GK110 ,,732.0,0.0,1.0,12.0,0.0,0.0,1536.0,Nvidia,235.0,6144.0,GDDR5,Tesla K20X,0,4.5,None ,,2012-11-12,1,5.0,,0.0,249.6,384.0,1300.0,,,,28.0,4096.0,2160.0,
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,28.0,,DDR4,Iris i3 6167U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,8.0
R360 ,1024 x 768,,1.0,1.0,9.0,0.0,0.0,0.0,AMD,60.0,256.0,DDR,Radeon 9800 XT,0,2.0,None ,8.0,2003-10-01,0,2.0,8.0,1.0,23.4,256.0,730.0,400.0,20.0,3.0,150.0,2048.0,1536.0,3.0
Fermi GF100 ,,575.0,1.0,1.0,12.0,0.0,0.0,768.0,Nvidia,238.0,6144.0,GDDR5,Tesla C2070,0,4.5,None ,,2010-09-01,0,5.0,,0.0,144.0,384.0,750.0,,,,40.0,2560.0,1600.0,
Fermi GF100 ,,575.0,1.0,1.0,12.0,0.0,0.0,768.0,Nvidia,247.0,6144.0,GDDR5,Tesla C2075,0,4.5,None ,,2011-07-01,0,5.0,,0.0,144.0,384.0,750.0,,,,40.0,2560.0,1600.0,
NV25 A2 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 750 XGL,0,1.5,None ,4.0,2002-02-19,0,1.3,8.0,0.0,3.6,128.0,225.0,,,1.0,150.0,,,2.0
NV28GL A2 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 900 XGL,0,1.5,None ,4.0,2002-11-01,0,1.3,8.0,0.0,5.2,128.0,325.0,,,1.0,150.0,,,2.0
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,15.0,,DDR4,Iris i5 6360U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,8.0
NV28 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 780 XGL,0,1.5,1x 6-pin ,4.0,2002-11-01,0,1.3,8.0,0.0,4.4,128.0,275.0,,,1.0,150.0,,,2.0
Fermi GF100 ,,575.0,1.0,1.0,12.0,0.0,0.0,768.0,Nvidia,238.0,3072.0,GDDR5,Tesla C2050,0,4.5,None ,,2010-05-01,0,5.0,,0.0,144.0,384.0,750.0,,,,40.0,2560.0,1600.0,
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,28.0,,DDR4,Iris i5 6267U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,8.0
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,15.0,,DDR4,Iris i5 6260U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,8.0
Haswell GT3 ,1366 x 768,200.0,,0.0,11.1,,1.0,512.0,Intel,15.0,,DDR3,Iris i5 4258U,1,4.0,,4.0,2013-06-02,0,5.0,8.0,,25.6,128.0,800.0,,,4.0,22.0,2560.0,1600.0,9.0
NV18 A4 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,64.0,DDR,Quadro4 580 XGL,0,1.5,None ,4.0,2002-11-01,0,1.3,4.0,0.0,3.2,128.0,200.0,,,1.0,150.0,,,1.0
Broadwell GT3-E ,1366 x 768,300.0,,0.0,12.0,,1.0,1024.0,Intel,47.0,,DDR3,Iris i5 5350H,1,4.4,,2.0,2015-06-02,0,5.0,8.0,,29.9,128.0,933.0,,,2.0,14.0,4096.0,2304.0,8.0
NV17 A3 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,64.0,DDR,Quadro4 550 XGL,0,1.5,None ,4.0,2002-02-19,0,1.3,4.0,0.0,3.2,128.0,200.0,,,1.0,150.0,,,1.0
NV18 A4 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 380 XGL,0,1.5,None ,4.0,2002-02-19,0,1.3,4.0,0.0,4.1,128.0,256.0,,,1.0,150.0,,,1.0
NV25 A2 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,64.0,DDR,Quadro4 700 XGL,0,1.5,None ,4.0,2002-02-19,0,1.3,8.0,0.0,3.6,128.0,225.0,,,1.0,150.0,,,2.0
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,28.0,,DDR4,Iris i5 6287U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,9.0
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,15.0,,DDR4,Iris i7 6650U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,8.0
NV17 A3 ,,,2.0,1.0,8.1,0.0,0.0,0.0,Nvidia,,128.0,DDR,Quadro4 500 XGL,0,1.5,None ,4.0,2002-02-19,0,1.3,4.0,0.0,2.7,128.0,166.0,,,1.0,150.0,,,1.0
Skylake GT3-E ,1366 x 768,300.0,,0.0,12.1,,1.0,512.0,Intel,28.0,,DDR4,Iris i7 6567U,1,4.4,,2.0,2015-09-01,0,5.0,8.0,,34.1,128.0,1067.0,,,2.0,14.0,4096.0,2304.0,9.0
