Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
Tesla G92b ,1.0,10.0,0.0,0.0,Nvidia,GDDR3,GeForce GTS 150,0,3.3,2009-03-01,1,4.0,64.0,256.0,1000.0,2560.0,1600.0
R600 XT ,1.0,10.0,0.0,0.0,AMD,GDDR3,Radeon HD 2900 XT 512MB,0,3.1,2007-05-14,1,4.0,106.0,512.0,828.0,2560.0,1600.0
R600 PRO ,1.0,10.0,0.0,0.0,AMD,GDDR3,Radeon HD 2900 Pro,0,3.1,2007-12-07,1,4.0,51.2,256.0,800.0,2560.0,1600.0
RV630 ,1.0,10.0,0.0,0.0,AMD,GDDR4,Radeon HD 2600 XT Diamond Edition,0,3.3,2007-07-01,1,4.0,36.8,128.0,1150.0,2560.0,1600.0
RV630 ,1.0,10.0,0.0,0.0,AMD,GDDR3,Radeon HD 2600 XT,0,3.1,2007-06-28,1,4.0,22.4,128.0,700.0,2560.0,1600.0
RV630 ,1.0,10.0,0.0,0.0,AMD,GDDR4,Radeon HD 2600 XT 256MB GDDR4,0,3.3,2007-06-26,1,4.0,35.2,128.0,1100.0,2560.0,1600.0
R700 RV790 XT ,1.0,10.1,0.0,0.0,AMD,GDDR5,Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,0,3.3,2009-07-13,1,4.1,134.4,256.0,1050.0,2560.0,1600.0
R600 GT ,1.0,10.0,0.0,0.0,AMD,GDDR3,Radeon HD 2900 GT,0,3.1,2007-11-06,1,4.0,51.2,256.0,800.0,2560.0,1600.0
Pitcairn XT GL ,1.0,11.2,0.0,0.0,AMD,GDDR5,FirePro D300,0,4.3,2014-01-18,1,5.0,160.0,256.0,1250.0,4096.0,2160.0
RV100 ,1.0,7.0,0.0,0.0,AMD,DDR,Radeon 7000 64mb,0,1.4,2001-01-02,0,1.0,2.9,64.0,366.0,1600.0,1200.0
NV28GL A2 ,1.0,8.1,0.0,0.0,Nvidia,DDR,Quadro4 980 XGL,0,1.5,2002-11-01,0,1.3,5.2,128.0,325.0,,
Fermi GF110 ,1.0,12.0,0.0,768.0,Nvidia,GDDR5,Tesla M2090,0,4.5,2011-07-25,1,5.0,177.6,384.0,925.0,2560.0,1600.0
Kepler GK110 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,Tesla K20,0,4.5,2012-11-01,0,5.0,168.0,320.0,1050.0,4096.0,2160.0
Kepler GK110 ,1.0,12.0,0.0,1536.0,Nvidia,GDDR5,Tesla K40c,0,4.5,2013-11-12,1,5.0,288.4,384.0,1502.0,4096.0,2160.0
RV200 ,1.0,7.0,0.0,0.0,AMD,DDR,All-in-Wonder Radeon 7500,0,1.4,2002-01-22,0,,5.8,128.0,360.0,1600.0,1200.0
